stream,scen,cca,run,data,duration,goodput,buffer,rtt
NewReno,4.10M,NewReno,1,209715200,2.411671,695667692,10,2
Cubic,4.10M,Cubic,1,209715200,7.217204,232461435,10,2
Yeah,4.10M,Yeah,1,209715200,8.610004,194857238,10,2
Westwood,4.10M,Westwood,1,209715200,8.627204,194468752,10,2
Vegas,4.10M,Vegas,1,209715200,11.700504,143388831,10,2
BBR,4.10M,BBR,1,209715200,12.454104,134712348,10,2
NewReno,4.10M,NewReno,2,209715200,2.421271,692909467,10,2
Cubic,4.10M,Cubic,2,209715200,7.248204,231467215,10,2
Yeah,4.10M,Yeah,2,209715200,8.589204,195329113,10,2
Westwood,4.10M,Westwood,2,209715200,8.620004,194631185,10,2
Vegas,4.10M,Vegas,2,209715200,11.218904,149544162,10,2
BBR,4.10M,BBR,2,209715200,13.117104,127903354,10,2
NewReno,4.10M,NewReno,3,209715200,2.432971,689577311,10,2
Cubic,4.10M,Cubic,3,209715200,7.286904,230237917,10,2
Yeah,4.10M,Yeah,3,209715200,8.477104,197912117,10,2
Westwood,4.10M,Westwood,3,209715200,8.606804,194929685,10,2
Vegas,4.10M,Vegas,3,209715200,10.363604,161885923,10,2
BBR,4.10M,BBR,3,7429800,19.894904,2987619,10,2
NewReno,4.10M,NewReno,4,209715200,2.426271,691481536,10,2
Cubic,4.10M,Cubic,4,209715200,7.212404,232616142,10,2
Yeah,4.10M,Yeah,4,209715200,8.586904,195381432,10,2
Westwood,4.10M,Westwood,4,209715200,8.607004,194925156,10,2
Vegas,4.10M,Vegas,4,209715200,10.336704,162307211,10,2
BBR,4.10M,BBR,4,209715200,14.419004,116354888,10,2
NewReno,4.10M,NewReno,5,209715200,2.444571,686305122,10,2
Cubic,4.10M,Cubic,5,209715200,7.479504,224309205,10,2
Yeah,4.10M,Yeah,5,209715200,8.289004,202403280,10,2
Westwood,4.10M,Westwood,5,209715200,8.652804,193893401,10,2
Vegas,4.10M,Vegas,5,209715200,11.170504,150192113,10,2
BBR,4.10M,BBR,5,209715200,12.921904,129835479,10,2
