stream,scen,cca,run,data,duration,goodput,buffer,rtt
NewReno,4.10M,NewReno,1,209715200,2.460371,681897811,10,4
Cubic,4.10M,Cubic,1,209715200,7.620304,220164654,10,4
Yeah,4.10M,Yeah,1,209715200,9.094704,184472369,10,4
Westwood,4.10M,Westwood,1,209715200,9.132504,183708827,10,4
Vegas,4.10M,Vegas,1,209715200,12.356904,135772002,10,4
BBR,4.10M,BBR,1,209715200,11.956504,140318742,10,4
NewReno,4.10M,NewReno,2,209715200,2.464671,680708135,10,4
Cubic,4.10M,Cubic,2,209715200,7.643504,219496398,10,4
Yeah,4.10M,Yeah,2,209715200,9.107504,184213106,10,4
Westwood,4.10M,Westwood,2,209715200,9.145104,183455715,10,4
Vegas,4.10M,Vegas,2,209715200,11.987204,139959376,10,4
BBR,4.10M,BBR,2,209715200,12.314204,136242797,10,4
NewReno,4.10M,NewReno,3,209715200,2.492971,672980792,10,4
Cubic,4.10M,Cubic,3,209715200,7.853404,213629860,10,4
Yeah,4.10M,Yeah,3,209715200,9.374904,178958803,10,4
Westwood,4.10M,Westwood,3,209715200,9.406404,178359509,10,4
Vegas,4.10M,Vegas,3,209715200,11.741004,142894219,10,4
BBR,4.10M,BBR,3,209715200,13.198504,127114527,10,4
NewReno,4.10M,NewReno,4,209715200,2.480071,676481278,10,4
Cubic,4.10M,Cubic,4,209715200,7.639004,219625699,10,4
Yeah,4.10M,Yeah,4,209715200,9.097904,184407485,10,4
Westwood,4.10M,Westwood,4,209715200,9.128704,183785299,10,4
Vegas,4.10M,Vegas,4,209715200,11.279204,148744680,10,4
BBR,4.10M,BBR,4,209715200,14.019404,119671392,10,4
NewReno,4.10M,NewReno,5,209715200,2.490171,673737506,10,4
Cubic,4.10M,Cubic,5,209715200,7.766704,216014618,10,4
Yeah,4.10M,Yeah,5,209715200,8.547704,196277456,10,4
Westwood,4.10M,Westwood,5,209715200,8.953404,187383658,10,4
Vegas,4.10M,Vegas,5,209715200,10.670704,157226889,10,4
BBR,4.10M,BBR,5,209715200,17.166804,97730573,10,4
